,label,label_coarse,confidence,error
0,tench,fish,0.025246585,3.6790648
1,tench,fish,0.87234795,0.13656712
2,tench,fish,0.16914757,1.7769837
3,tench,fish,0.9902525,0.009795189
4,tench,fish,0.9987478,0.001253128
5,tench,fish,0.7349995,0.30788517
6,tench,fish,0.9409528,0.06086254
7,tench,fish,0.95382744,0.047272682
8,tench,fish,0.6925617,0.3673582
9,tench,fish,0.90151125,0.10368252
10,tench,fish,0.00056668423,7.475708
11,tench,fish,0.94187987,0.059877396
12,tench,fish,0.9169198,0.08673477
13,tench,fish,0.902299,0.10280895
14,tench,fish,0.940852,0.060969353
15,tench,fish,0.9761294,0.024160385
16,tench,fish,0.9967173,0.003288269
17,tench,fish,0.969682,0.030787468
18,tench,fish,0.9338281,0.068463326
19,tench,fish,0.95961785,0.04121971
20,tench,fish,0.4716903,0.7514324
21,tench,fish,0.8821446,0.12539959
22,tench,fish,0.7264257,0.31961918
23,tench,fish,0.83626455,0.17881012
24,tench,fish,0.9539398,0.047154427
25,tench,fish,0.65543693,0.42245293
26,tench,fish,0.95795095,0.04295826
27,tench,fish,0.74755347,0.29094982
28,tench,fish,0.99695706,0.003047943
29,tench,fish,0.22485463,1.492301
30,tench,fish,0.9573028,0.04363537
31,tench,fish,0.960949,0.039834023
32,tench,fish,0.00552642,5.198215
33,tench,fish,0.98922706,0.010831833
34,tench,fish,0.95264846,0.048509598
35,tench,fish,0.7219962,0.3257351
36,tench,fish,0.11089424,2.1991782
37,tench,fish,0.9356663,0.066495895
38,tench,fish,0.8321098,0.18379116
39,tench,fish,0.99188495,0.008148193
40,tench,fish,0.93179476,0.07064247
41,tench,fish,0.97361135,0.026742935
42,tench,fish,0.9884133,0.011654854
43,tench,fish,0.9834767,0.016661644
44,tench,fish,0.97498643,0.025331497
45,tench,fish,0.9885804,0.0114851
46,tench,fish,0.96934175,0.03113842
47,tench,fish,0.9530799,0.048056602
48,tench,fish,0.8628137,0.1475563
49,tench,fish,0.99015945,0.009889603
50,goldfish,fish,0.007827017,4.850174
51,goldfish,fish,0.46071815,0.7749691
52,goldfish,fish,0.99981576,0.00018501282
53,goldfish,fish,0.8122121,0.2079935
